Date,Close,High,Low,Open,Volume
2011-06-06,10.11937141418457,10.389089786188784,10.112486508154133,10.348677234316634,461941200
2011-06-07,9.9397611618042,10.124762380920815,9.935570105132687,10.123265974647866,529785200
2011-06-08,9.945745468139648,10.022380311785497,9.898149051166614,9.931975656763374,333723600
2011-06-09,9.92329216003418,9.988551265821858,9.901139443823864,9.975978102567353,275088800
2011-06-10,9.755955696105957,9.928383701186954,9.744280212963485,9.895155017170154,433955200
2011-06-13,9.776910781860352,9.828100336557416,9.731109727557005,9.79487165047724,329473200
2011-06-14,9.95173454284668,9.975982397023335,9.858036498567294,9.878692018839095,334569200
2011-06-15,9.781402587890625,9.887673003081343,9.725422450041448,9.871208538782968,399196000
2011-06-16,9.733805656433105,9.839178399656245,9.529347154802979,9.785893705332038,510591200
2011-06-17,9.587118148803711,9.856238564580206,9.560176450894694,9.84845517647968,615020000
2011-06-20,9.439239501953125,9.510485853516679,9.294950632012034,9.50030757490412,640645600
2011-06-21,9.737998008728027,9.752965271202116,9.435650353892012,9.479955017565713,493382400
2011-06-22,9.657468795776367,9.845763357302987,9.650583089816891,9.733803888718107,390583200
2011-06-23,9.915512084960938,9.92928189757203,9.523058836388005,9.547604850311659,559759200
2011-06-24,9.769427299499512,9.972988076803851,9.731708595540875,9.919703393059123,439807200
2011-06-27,9.9397611618042,9.99544154393484,9.796370748530736,9.806549029018697,339813600
2011-06-28,10.036151885986328,10.07925909302905,9.981669754393417,9.987955938979692,294299600
2011-06-29,9.99963092803955,10.069380075428915,9.934969720999655,10.059501557465246,352545200
2011-06-30,10.04842472076416,10.06219613249834,9.963708316330196,10.019387889370844,322954800
2011-07-01,10.275634765625,10.28281863312397,10.004419187153305,10.056806183972313,435313200
2011-07-05,10.460339546203613,10.47231399482593,10.252887419677531,10.267854681093034,355054000
2011-07-06,10.530080795288086,10.600130467708091,10.378907092203294,10.445962355356304,444626000
2011-07-07,10.6929349899292,10.716883081036803,10.597141026774453,10.617198622223968,399663600
2011-07-08,10.768073081970215,10.776754954806663,10.543258059215304,10.577384430187925,489633200
2011-07-11,10.59714126586914,10.769869844511904,10.561817450991414,10.667190972711524,442674400
2011-07-12,10.5896577835083,10.7073039055737,10.436088327142793,10.58307103952448,451609200
2011-07-13,10.717479705810547,10.77675159497817,10.66838449361757,10.726758699316296,391638800
2011-07-14,10.709999084472656,10.824951370405715,10.667191638164898,10.806989701027629,430533600
2011-07-15,10.924036026000977,10.926430915012563,10.75190777478499,10.811778401350363,484467200
2011-07-18,11.189865112304688,11.215309613560878,10.93481498248442,10.939305000503207,572653200
2011-07-19,11.281167030334473,11.335050438069825,11.175494543849446,11.315592363196012,819145600
2011-07-20,11.582015991210938,11.862511356877183,11.555074290595048,11.85802133989524,941340400
2011-07-21,11.5936918258667,11.676612058324451,11.492210404610116,11.583513547788511,526534400
2011-07-22,11.773598670959473,11.825985646587,11.607456914133419,11.624520091345106,516728800
2011-07-25,11.929268836975098,11.97417140921489,11.663441740402526,11.685293904561805,589806000
2011-07-26,12.076251983642578,12.108881949341566,11.96459307235735,11.974171829803968,476582400
2011-07-27,11.752351760864258,12.053202956809418,11.739179868741779,11.991835113009518,659324400
2011-07-28,11.729299545288086,11.884065656792774,11.618838082927805,11.72331312187911,594034000
2011-07-29,11.689186096191406,11.828984951853862,11.495204872187427,11.604169929879365,632584400
2011-08-01,11.876879692077637,11.959201192880368,11.74576193462337,11.907712684862565,612836000
2011-08-02,11.642187118530273,11.91130677916051,11.625423694613902,11.903823150592247,639539600
2011-08-03,11.751750946044922,11.78108753755008,11.442518491353397,11.704152925849428,732508000
2011-08-04,11.296731948852539,11.714330717638635,11.296133226614815,11.65715474234129,871407600
2011-08-05,11.184473037719727,11.48023621466397,10.853687409170323,11.388633315029308,1204590800
2011-08-08,10.573492050170898,11.009351438370505,10.567803789350942,10.827343878736356,1143833600
2011-08-09,11.196149826049805,11.214111494489096,10.627076687778896,10.815670209580496,1082583600
2011-08-10,10.887215614318848,11.215307409493551,10.851592839943502,11.110533415172457,878656800
2011-08-11,11.186869621276855,11.239256619932423,10.918048922334668,11.091674380754199,741969200
2011-08-12,11.285355567932129,11.364683456416104,11.202733508522988,11.317684965868887,528976000
2011-08-15,11.477542877197266,11.52424241567075,11.318285948180781,11.36438676437432,460544000
2011-08-16,11.389829635620117,11.476343793673525,11.257515228097269,11.420963189730976,498750000
2011-08-17,11.38863468170166,11.510770830055138,11.315592161858033,11.44461401615107,442061200
2011-08-18,10.957858085632324,11.155433149626115,10.817760334057756,11.10124920791182,851435200
2011-08-19,10.65790843963623,10.986300753316035,10.657010756067686,10.841712147903412,775888400
2011-08-22,10.670182228088379,10.922838195212785,10.629769679447747,10.911761435055471,535315200
2011-08-23,11.183874130249023,11.185071574566592,10.686945929526123,10.785732687639513,656835200
2011-08-24,11.261109352111816,11.344329346379808,11.094069042604387,11.179983686665645,626267600
2011-08-25,11.18746566772461,11.239253931734073,10.926428420589556,10.928823309054408,871346000
2011-08-26,11.482629776000977,11.489214920204022,11.100054320705755,11.111130280656885,641477200
2011-08-29,11.673918724060059,11.719720577755849,11.614946579228592,11.6203342802637,405269200
2011-08-30,11.674516677856445,11.729897284806492,11.561360575048537,11.622428643473587,417922400
2011-08-31,11.520051956176758,11.737083598039511,11.43114369140713,11.691881262606573,522586400
2011-09-01,11.406292915344238,11.59518533840395,11.397013122622575,11.549684058250397,343725200
2011-09-02,11.197345733642578,11.315590570203055,11.130889168263543,11.218000450469368,438939200
2011-09-06,11.367676734924316,11.385337837854475,10.970731975724991,10.99737470952884,509698000
2011-09-07,11.49311351776123,11.543105645888925,11.43533719801685,11.541908200926736,350576800
2011-09-08,11.49939250946045,11.633204102496336,11.44461063575864,11.447304485556911,416158400
2011-09-09,11.30002498626709,11.55507425708905,11.226382952569535,11.493108505724607,564813200
2011-09-12,11.373664855957031,11.401803198196564,11.132983348568455,11.165913066717302,467832400
2011-09-13,11.513765335083008,11.561361758593014,11.382946513506893,11.43952457070278,440560400
2011-09-14,11.653858184814453,11.740970248186263,11.547886775790522,11.585605467094762,534724400
2011-09-15,11.76342487335205,11.784380151194247,11.671822771156796,11.717623822254422,417818800
2011-09-16,11.98913860321045,11.98913860321045,11.825392457122199,11.840659475487895,698513200
2011-09-19,12.322319030761719,12.37021600991048,11.830481107790979,11.884363710529353,823860800
2011-09-20,12.376802444458008,12.658495270261554,12.309148428357181,12.430685848691772,775754000
2011-09-21,12.33758544921875,12.620474876912919,12.333394394073988,12.562100665011066,605976000
2011-09-22,12.02865219116211,12.268136279984514,11.875383301575805,12.005003862812002,968480800
2011-09-23,12.10289478302002,12.175937305305052,11.969681868291007,11.982553998132058,546277200
2011-09-26,12.069066047668457,12.093313898611447,11.71373279293683,11.969979515745852,812876400
2011-09-27,11.952018737792969,12.251072903796667,11.9160962026273,12.235506924863422,632497600
2011-09-28,11.884662628173828,12.086127435338085,11.869693775095815,11.979856252359527,429637600
2011-09-29,11.691882133483887,12.040330550785475,11.561363058062959,12.031649476311285,651086800
2011-09-30,11.41497802734375,11.641590022334384,11.410786971226498,11.588603498247378,547640800
2011-10-03,11.2138090133667,11.454490533051029,11.17100237599136,11.386537564168279,669099200
2011-10-04,11.150949478149414,11.429349013583884,10.60432948796689,11.21291605069621,1233677200
2011-10-05,11.323078155517578,11.370075862852147,10.785736422679308,11.012048680898415,786469600
2011-10-06,11.296731948852539,11.51855334207556,11.129991402775897,11.175792454918613,812582400
2011-10-07,11.070120811462402,11.30780794502837,11.030905703815153,11.24913476427685,535458000
2011-10-10,11.63919448852539,11.63919448852539,11.321878858259886,11.348222639918614,442514800
2011-10-11,11.982853889465332,12.069368069970443,11.719722211300226,11.751752657972004,605687600
2011-10-12,12.039727210998535,12.251070525914649,11.978359392134642,12.193894561294185,622286000
2011-10-13,12.226524353027344,12.226524353027344,12.059484079590124,12.12324598673811,426185200
2011-10-14,12.632747650146484,12.632747650146484,12.431281262063598,12.477981585530188,573367200
2011-10-17,12.572579383850098,12.77344628411052,12.451340137569005,12.624966376955378,686044800
2011-10-18,12.639935493469238,12.71687010793684,12.452839176170222,12.625566158650082,881602400
2011-10-19,11.932859420776367,12.22622610046228,11.9083118109157,12.014583001541459,1104059600
2011-10-20,11.833773612976074,11.984648427168946,11.800845486937382,11.974171187152702,549270400
2011-10-21,11.76072883605957,11.948424634028218,11.697265886520897,11.917291881412304,621244400
2011-10-24,12.146895408630371,12.168747565987491,11.836465597269742,11.85981495954071,502138000
2011-10-25,11.907417297363281,12.170250831612728,11.89574340977621,12.124748729235382,430427200
2011-10-26,11.992131233215332,12.050505447447538,11.769111614885652,12.026855521362664,456304800
2011-10-27,12.11456298828125,12.24358558574931,12.030744303201244,12.200477600121316,494664800
2011-10-28,12.122349739074707,12.164259492927481,12.04930723076726,12.06397552471142,322842800
2011-10-31,12.117263793945312,12.253470325530516,12.00560407839775,12.046616158104259,385501200
2011-11-01,11.869695663452148,11.9592026405085,11.77120865209957,11.896638164427243,531790000
2011-11-02,11.896637916564941,11.987342336219282,11.827785659314129,11.976865096850549,327350800
2011-11-03,12.066070556640625,12.07594907234144,11.835268365845668,11.946328525856085,441386400
2011-11-04,11.981353759765625,12.07714690787935,11.949023562285218,12.034938194378102,302229200
2011-11-07,11.966087341308594,11.974170491143497,11.858320536705925,11.97147664077328,270275600
2011-11-08,12.160666465759277,12.213652976761525,12.020868439786218,12.040326510130132,400442000
2011-11-09,11.832874298095703,12.000812274107219,11.801442582379826,11.883465123759908,558684000
2011-11-10,11.53172492980957,11.890650508638865,11.439823067126976,11.885262008640229,744752400
2011-11-11,11.513765335083008,11.635901484436264,11.383246274332116,11.573336204357922,653786000
2011-11-14,11.35330867767334,11.532622369837297,11.321577202135426,11.48083330199292,432905200
2011-11-15,11.63979434967041,11.659850348611252,11.358999972789325,11.399412530878333,430810800
2011-11-16,11.518255233764648,11.70894388411194,11.504783582736973,11.6523658274996,349210400
2011-11-17,11.297929763793945,11.512566497202341,11.240752987259604,11.494604829481636,479900400
2011-11-18,11.223987579345703,11.375161336241986,11.22219141276322,11.343130897897492,371938000
2011-11-21,11.04647159576416,11.126399009925873,10.953671254803897,11.088080789669085,447980400
2011-11-22,11.270987510681152,11.313495989513635,11.10424696728679,11.106641856199161,409021200
2011-11-23,10.985998153686523,11.250926648632998,10.98270478294147,11.211112034538424,428271200
2011-11-25,10.883625984191895,11.110536174860513,10.876141554622698,11.028812566889101,254760800
2011-11-28,11.259308815002441,11.277270476720341,11.085983175915123,11.146452504974933,346413200
2011-11-29,11.171903610229492,11.34044035998208,11.082097652961368,11.25093336421732,375855200
2011-11-30,11.441317558288574,11.443712446776072,11.324569142609025,11.414076900786263,405938400
2011-12-01,11.612848281860352,11.644878717531357,11.397911828269176,11.451496261130924,387181200
2011-12-02,11.665834426879883,11.783480534825443,11.632306784919221,11.669725721280964,379055600
2011-12-05,11.76491928100586,11.866700443085165,11.686489081061046,11.77928861194279,357210000
2011-12-06,11.703255653381348,11.813418954846199,11.656257952521315,11.749955192142853,283598000
2011-12-07,11.647575378417969,11.702955987276606,11.577825435617228,11.672720913454503,304746400
2011-12-08,11.694571495056152,11.839459052027898,11.68169936903457,11.718220619340356,376356400
2011-12-09,11.783183097839355,11.79575626581494,11.705650560395403,11.76013348892741,296993200
2011-12-12,11.729896545410156,11.791563332174979,11.658351242204349,11.72510676789645,301067200
2011-12-13,11.63919448852539,11.836469892680595,11.588004930027346,11.764624014791751,338928800
2011-12-14,11.381148338317871,11.59638456646927,11.30601070280741,11.576028012261057,406887600
2011-12-15,11.343730926513672,11.487421072212324,11.324871574906668,11.475147665499575,256200000
2011-12-16,11.40599536895752,11.49969339590511,11.36258920801293,11.38623833549761,421478400
2011-12-19,11.441625595092773,11.520655373620771,11.389836493771066,11.449408988307095,235530400
2011-12-20,11.852932929992676,11.857423746764358,11.592794095094353,11.607761352700793,337215200
2011-12-21,11.867898941040039,11.893344233819066,11.734985016158388,11.875082807784358,262948000
2011-12-22,11.930763244628906,11.948126187826816,11.857421776077356,11.884362675418968,202358800
2011-12-23,12.073853492736816,12.081636880322165,11.958901243408393,11.964888464627892,269399200
2011-12-27,12.169649124145508,12.246283972711069,12.06457536864955,12.0669710569895,265076000
2011-12-28,12.053200721740723,12.221137918668418,12.014284574321163,12.180426403836478,228662000
2011-12-29,12.127439498901367,12.143306037920828,11.989438419261047,12.075950985055757,215978000
2011-12-30,12.123848915100098,12.162166342049114,12.078646581541882,12.079244504465798,179662000
2012-01-03,12.310348510742188,12.348366982405945,12.243592963400623,12.255567411068315,302220800
2012-01-04,12.37650203704834,12.413622814924555,12.251971011944331,12.273524212639375,260022000
2012-01-05,12.513906478881836,12.529472457947337,12.353452114076198,12.421705650896818,271269600
2012-01-06,12.644721984863281,12.655199222431023,12.549527564517874,12.565992023370606,318292800
2012-01-09,12.624665260314941,12.804876625140729,12.613289539813017,12.737522383731683,394024400
2012-01-10,12.669872283935547,12.752494370044047,12.617784238511765,12.74979971977052,258196400
2012-01-11,12.649209976196289,12.65819080668608,12.552219404992128,12.653101269727602,215084800
2012-01-12,12.61448860168457,12.659690929379922,12.535458868892453,12.641131340279852,212587200
2012-01-13,12.567188262939453,12.586347370433494,12.53276294070404,12.563896490381858,226021600
2012-01-17,12.713571548461914,12.752188720351205,12.661483530356966,12.698603497465703,242897200
2012-01-18,12.845587730407715,12.856363928409012,12.761469277171871,12.781226306309179,276791200
2012-01-19,12.804878234863281,12.913243756872244,12.767758257394686,12.876723300972687,261738400
2012-01-20,12.581856727600098,12.797391893694167,12.565392269052438,12.79709293231645,413974400
2012-01-23,12.794697761535645,12.825831310953767,12.641727861042703,12.652803820289327,306062400
2012-01-24,12.585153579711914,12.725551157307526,12.559409320905145,12.725551157307526,547638000
2012-01-25,13.37095832824707,13.604154657684965,13.283247513913505,13.603855696230426,958314000
2012-01-26,13.310189247131348,13.43471947554705,13.265585639542987,13.421848146501947,323985200
2012-01-27,13.389516830444336,13.425439362291666,13.284443884424082,13.301506267705447,299709200
2012-01-30,13.561051368713379,13.587694116224714,13.332943726489264,13.342522485668033,379341200
2012-01-31,13.664920806884766,13.71760675660965,13.562840680170043,13.638278071270587,391683600
2012-02-01,13.656242370605469,13.740061887860225,13.637084857105998,13.722699741769576,270046000
2012-02-02,13.624211311340332,13.685578341495107,13.59008494360075,13.647560678942533,186796400
2012-02-03,13.76071834564209,13.770297902408085,13.637384749728737,13.689472790281629,286599600
2012-02-06,13.889137268066406,13.919372336997526,13.716411123432417,13.721798823427017,249412800
2012-02-07,14.034626960754395,14.062168184806378,13.907400478484892,13.927458073942962,316223600
2012-02-08,14.269623756408691,14.272915530614682,14.060673632477359,14.084622528837604,407890000
2012-02-09,14.763254165649414,14.870423045191862,14.385768198365286,14.391755420579184,884214800
2012-02-10,14.770737648010254,14.896466115813261,14.624951586307517,14.697097213592162,631302000
2012-02-13,15.045548439025879,15.082368663306609,14.88060323474836,14.9536457603416,517216000
2012-02-14,15.25090217590332,15.253894987717173,15.02758437771003,15.107212036904741,460398400
2012-02-15,14.897960662841797,15.754710371584652,14.874609702495205,15.394588235213826,1506120000
2012-02-16,15.0338716506958,15.114098837300261,14.567477387395554,14.713263464460523,944552000
2012-02-17,15.031179428100586,15.200314892986233,14.976696494211728,15.060814985056417,535805200
2012-02-21,15.412256240844727,15.412256240844727,15.091048530807212,15.173670607081949,605595200
2012-02-22,15.358073234558105,15.431414720358731,15.239228852433614,15.359270679198207,483302400
2012-02-23,15.458359718322754,15.501467734549243,15.252105030983644,15.419144597049222,568027600
2012-02-24,15.638566970825195,15.653235267163579,15.525711416948049,15.55654441565999,415072000
2012-02-27,15.738847732543945,15.820870266747427,15.455059836161018,15.605634056245236,547582000
2012-02-28,16.027725219726562,16.027725219726562,15.741542419590587,15.804706408990846,600387200
2012-02-29,16.238168716430664,16.392936384906484,16.03640495900967,16.21182654206852,952011200
2012-03-01,16.29893684387207,16.410897073474892,16.12830504787445,16.409698030591,683270000
2012-03-02,16.320199966430664,16.36869408086285,16.240570689681302,16.292060814084344,431712400
2012-03-05,15.960366249084473,16.38904000147995,15.746026974801335,16.327374034793774,809124400
2012-03-06,15.873563766479492,15.97624186344945,15.453270221182127,15.675990164615087,810238800
2012-03-07,15.886435508728027,16.098677394268904,15.665211988222753,16.069340797331076,798520800
2012-03-08,16.22470474243164,16.25463925922006,15.92924127753625,16.006175095998774,516457200
2012-03-09,16.319894790649414,16.39682858836501,16.258227208685163,16.291156127507076,418919200
2012-03-12,16.524356842041016,16.524356842041016,16.374677877894154,16.433950581428984,407282400
2012-03-13,17.00632095336914,17.008715843035446,16.63661745507593,16.69020351104068,690855200
2012-03-14,17.649328231811523,17.803195841934293,17.224842980764734,17.304173273374165,1418844000
2012-03-15,17.52898597717285,17.961552742204614,17.31913905766476,17.94957829910269,1159718000
2012-03-16,17.529285430908203,17.637950707343137,17.30267428469267,17.50384013828295,825487600
2012-03-19,17.994182586669922,18.014238579696322,17.63346088379707,17.91245901141894,901236000
2012-03-20,18.139663696289062,18.16780123004705,17.70619859385321,17.94657946321592,816662000
2012-03-21,18.036096572875977,18.250135405227727,18.003468204926328,18.043281240697315,644042000
2012-03-22,17.941499710083008,18.095966854142716,17.827445119118874,17.894799374278165,623870800
2012-03-23,17.843019485473633,18.01514781017806,17.793625278202367,17.97593268491405,430488800
2012-03-26,18.170204162597656,18.175294500503952,17.81936253449648,17.95496792128975,595742000
2012-03-27,18.394716262817383,18.44859964994978,18.142659868956677,18.14625220134709,607129600
2012-03-28,18.48871421813965,18.603366701967886,18.269885688139546,18.511464059105638,655460400
2012-03-29,18.256418228149414,18.456986171084647,18.177689055538952,18.343830071821863,608238400
2012-03-30,17.947778701782227,18.277366777178933,17.899581979337757,18.223782355970478,731038000
2012-04-02,18.51894760131836,18.523137856255307,17.972625328111945,18.016032276525948,598351600
2012-04-03,18.83896255493164,18.925477519879557,18.63510282582938,18.778492407390477,834559600
2012-04-04,18.68899154663086,18.73539133489814,18.470162899741812,18.690188991464687,572980800
2012-04-05,18.969480514526367,18.998817102320896,18.66174370537209,18.768912578735492,641298000
2012-04-09,19.04581642150879,19.15388378705914,18.71862311175423,18.743468885587266,597536800
